Gala_date,Best_movie,Best_director,Best_actor,Best_actress
4 de abrilde 1960,Ben-Hur,W. Wyler,C. Heston,S. Signoret
17 de abrilde 1961,apartment !The Apartment,B. Wilder,B. Lancaster,E. Taylor
9 de abrilde 1962,West Side Story,R. Wise J. Robbins,M. Schell,S. Loren
8 de abril1963,Lawrence of Arabia,D. Lean,G. Peck,A. Bancroft
13 de abrilde 1964,Tom Jones,T. Richardson,S. Poitier,P. Neal
5 de abrilde 1965,My Fair Lady,G. Cukor,R. Harrison,J. Andrews
18 de abril1966,The Sound of Music,R. Wise,L. Marvin,J. Christie
10 de abril1967,A Man for All Seasons,F. Zinnemann,P. Scofield,E. Taylor
10 de abrilde 1968,In the Heat of the Night,M. Nichols,R. Steiger,K. Hepburn
14 de abril1969,Oliver!,C. Reed,C. Robertson,K. Hepburn B. Streisand
7 de abril1970,Midnight Cowboy,J. Schlesinger,John Wayne,M. Smith
15 de abril1971,Patton,F. Schaffner,G. C. Scott,G. Jackson
10 de abril1972,The French Connection,W. Friedkin,G. Hackman,J. Fonda
27 de marzo1973,The Godfather,B. Fosse,M. Brando,L. Minnelli
2 de abril de 1974,The Sting,G. R. Hill,J. Lemmon,G. Jackson
8 de abril1975,El padrino II,F. F. Coppola,A. Carney,E. Burstyn
